group_column,age,salary,department
Lucasmouth,41,47118.24,Engineering
Markhaven,19,67906.84,Marketing
Lake Davidburgh,23,99888.31,Sales
South Sydney,21,47018.42,Engineering
New Brandon,34,66391.9,Sales
North Carrieview,52,51911.86,Marketing
Tiffanyburgh,48,105300.66,Marketing
Nancyburgh,44,61631.49,Sales
South Amyside,40,91834.94,Marketing
Greenfort,57,86586.64,Engineering
East John,25,91887.06,Engineering
East Kimberlyburgh,25,54085.18,Engineering
East Bobbystad,43,73622.31,Engineering
Debraside,38,67569.97,Engineering
West Taylor,26,73316.18,Marketing
Lake Kaitlinport,18,69546.37,HR
East Michael,27,71952.89,Marketing
Sanchezburgh,26,84157.67,Marketing
Johnsonview,65,72164.72,Engineering
North Jeffrey,30,79486.67,Finance
New Heather,34,66166.75,Marketing
Conwayville,35,72927.94,Sales
West Billyhaven,26,84651.42,Engineering
Matthewsbury,29,66591.49,Engineering
East Tiffany,38,62842.24,Marketing
Websterview,54,84996.06,Finance
Bruceshire,28,87469.43,Engineering
South Rachel,33,72648.28,Sales
Amandashire,26,76300.68,Marketing
Richardside,40,63014.82,Marketing
Richardfort,18,78132.32,Sales
East Matthewfort,18,75096.71,Finance
West Joshualand,21,100170.81,Sales
Darylland,43,72354.22,Marketing
South Tonyamouth,35,56958.22,Marketing
Leahstad,19,89584.68,Sales
Wardchester,49,67668.63,Engineering
Robertsville,18,85621.7,Engineering
Jenniferside,40,104151.23,Marketing
Lake Elizabeth,18,82209.6,Sales
South Barry,40,69273.35,Marketing
Floresfort,42,87716.28,Sales
West Nicole,26,74562.76,Engineering
Smithmouth,20,72150.92,Marketing
Johnton,62,65598.61,HR
Garciaton,33,53099.56,Engineering
West Robert,44,78427.03,Sales
East Peterburgh,20,69233.4,Marketing
Kiddbury,31,99566.7,Marketing
Brooksbury,60,63540.33,Engineering
Bryantport,61,106741.02,Marketing
Davishaven,41,49100.49,HR
East Crystal,26,62694.41,Sales
Robertsonberg,60,81412.64,Finance
Kimberlychester,32,74838.12,HR
South Amyside,23,83776.0,Sales
Wagnerview,61,84721.97,Engineering
Mirandaview,42,86795.78,Marketing
Turnerfurt,20,80110.5,Marketing
West Taylor,48,68415.46,Marketing
Port Jennifer,27,49143.63,Sales
Wardchester,30,61645.49,Finance
Timstad,49,41999.55,Marketing
Barrettside,37,85468.75,Finance
Rickyville,53,97319.94,Marketing
Port Erikbury,32,78226.63,HR
New Jessica,20,83096.18,Marketing
South Kimchester,24,70223.51,Marketing
North David,19,77653.88,Sales
Phyllisport,26,77403.47,Marketing
Makaylaberg,18,69324.79,Sales
East John,29,103493.22,Engineering
Josephfort,40,73051.27,Sales
Greenville,33,73403.2,Sales
Barbarahaven,21,47350.23,Marketing
Fuentesmouth,31,79896.51,HR
Franklinborough,25,70937.94,Marketing
Port John,44,81253.57,Sales
Garciaton,51,69832.63,Finance
Farrellburgh,44,83564.15,Engineering
Cooktown,54,84975.26,Engineering
New Brittany,44,96304.78,HR
East Sarah,21,80228.01,Engineering
North Danieltown,26,95102.52,Marketing
Alexanderview,38,69412.41,Finance
New Johnnystad,26,68239.45,Marketing
South Natashafurt,61,74317.66,Finance
Mirandaview,22,63089.32,HR
Lake Brianaborough,34,61209.25,Marketing
Lindseyfurt,29,65567.33,Marketing
East Heather,44,91791.0,Finance
North Geraldville,25,75182.69,Engineering
Stanleystad,48,52443.76,Engineering
North Christianchester,48,75928.29,Marketing
Johnsonshire,28,79919.96,Sales
Port Jenniferbury,58,66736.56,Marketing
East Michaelfurt,65,67118.41,Marketing
Alyssachester,24,82735.47,Marketing
Lake Kevinside,24,55845.79,Marketing
Thomasborough,18,67355.53,Engineering
Freemanmouth,31,60041.86,Finance
Davidtown,33,73706.23,Sales
Campbellhaven,44,63093.05,Sales
Estesport,26,70274.26,HR
Jonesstad,60,58191.2,Marketing
Lake Tara,44,57940.79,HR
Davishaven,20,44293.51,Sales
Caintown,36,30000.0,Marketing
Natashafort,55,54907.28,Engineering
West Chad,52,55506.33,Sales
South Phillipport,46,75203.0,Marketing
South Heather,24,52489.14,Engineering
Pamelaport,20,49499.42,Marketing
West Chad,46,56536.39,Marketing
North Anne,19,54591.95,Engineering
Mirandaview,50,69117.07,Sales
Heatherview,52,96624.66,Engineering
New Brittany,31,79548.81,Marketing
North Staceyhaven,51,68519.72,Marketing
Tonyaborough,25,87113.99,Marketing
Ericburgh,31,67720.19,Finance
Sandrashire,22,58816.85,Marketing
Kathryntown,46,74919.77,Marketing
Faulknerville,65,81071.09,Marketing
West Timothyburgh,62,86549.97,Marketing
Markburgh,27,70399.45,Engineering
North Meghan,26,115917.84,Marketing
Port Andrew,29,61261.16,Engineering
Camposside,23,86511.0,Finance
Schmidttown,21,70979.35,Sales
Carolland,53,82733.02,Marketing
Williamstad,22,76279.55,Sales
Katherineview,39,66958.01,Sales
Bennettside,24,77194.43,Engineering
Martinville,64,62591.39,Engineering
Edwinburgh,18,62084.69,Sales
Scottview,30,56007.86,Engineering
East Tiffany,56,76200.39,Sales
Paulmouth,18,85455.95,Marketing
Samanthaton,56,65009.99,Engineering
Lake Amandaview,36,59983.0,HR
South Taylor,32,90633.34,Engineering
New Heather,34,93598.51,Sales
South Heather,19,36387.55,Marketing
Carolynchester,19,59697.64,Marketing
Faulknerville,23,76654.34,Sales
North Sharonburgh,25,63345.02,Sales
Denisefurt,51,74690.97,Engineering
Katrinashire,40,78676.67,Engineering
Cherylmouth,36,62886.12,Marketing
New Sarahmouth,22,89250.29,Engineering
East Ana,38,69617.78,Marketing
North Scottborough,62,70601.35,Sales
Port Jesse,64,74512.0,Sales
Camposside,29,47460.86,Engineering
Khanland,43,88861.15,Engineering
South Amy,38,62883.69,Marketing
New Erin,48,74743.41,Engineering
Amandaborough,63,77035.69,Finance
Lake Brandiland,21,70372.97,Marketing
East Anneview,56,65652.0,Marketing
Michaelshire,41,70216.48,Sales
Bryantstad,36,74773.6,Sales
Port Cheryl,24,80564.05,Sales
Benjaminton,63,36925.13,Sales
North Carrieview,52,69628.09,Marketing
Brownburgh,29,72080.69,Marketing
Gregoryside,22,52433.17,Marketing
Krystalchester,58,44334.54,Marketing
East Rachel,51,88208.75,Engineering
Mooreview,34,65433.66,Marketing
Vasquezland,34,61548.34,Engineering
New Sheilastad,18,83627.57,Sales
Kaitlynfurt,22,86302.18,Engineering
North Sarahshire,23,86513.2,Engineering
Elliottborough,45,81372.44,Marketing
Johnsonfort,31,64162.9,Marketing
Kaitlynfurt,36,62355.88,Marketing
North Geraldville,29,83991.38,Marketing
North Bethbury,19,87253.23,Engineering
Kelleytown,28,67287.91,Sales
North Sarahshire,25,83759.6,Marketing
South Terranceberg,24,93269.42,Engineering
Josephfort,18,80971.21,Engineering
Benjaminstad,48,60623.0,Marketing
Herreraburgh,63,60774.07,Marketing
Richardfort,33,88699.29,Sales
Ericberg,21,64714.02,Marketing
East Vanessa,19,70105.33,Finance
Thomasborough,22,82820.78,Sales
South Jeremy,41,76824.97,Engineering
Kelleytown,40,78628.23,Marketing
Oliverton,39,72961.13,Marketing
Port Shaunfurt,21,66179.07,Engineering
West Sydney,24,55126.91,HR
New Aaron,26,60961.05,Marketing
Port Maryshire,29,72491.93,Engineering
West Sydney,51,71989.4,Marketing
Stokesbury,48,65224.87,Sales
Lake Paul,27,79169.95,Marketing
East Andrea,20,68620.81,Sales
South Barry,27,42540.02,Marketing
West Michaelmouth,48,96858.28,Engineering
Beckyhaven,55,66959.55,Marketing
Port Matthewport,26,87825.76,Marketing
Katherineview,20,48513.66,Engineering
Ronaldtown,22,62626.78,Engineering
Benjaminstad,40,58500.46,Engineering
Lake Lisaville,57,81530.2,Sales
Lake Linda,24,62605.42,Sales
Riveraside,29,71599.61,Marketing
Ericberg,32,90426.95,Sales
Vasquezport,52,99610.42,Marketing
Blackberg,36,66795.12,Sales
Jenniferfort,40,85771.09,Sales
Curtishaven,21,75827.79,Marketing
Poolemouth,53,76739.99,Engineering
Amandaborough,19,51601.33,Sales
East Stacey,39,87240.9,Marketing
Stanleystad,30,80214.48,Sales
Floresfort,22,85293.39,Engineering
Heatherview,25,92130.41,Engineering
Cooktown,65,76785.68,Sales
Kimberlystad,64,82886.4,Marketing
Lake Kellyshire,53,95994.52,Marketing
Lake Amandaview,32,73789.5,Marketing
Port Tylertown,50,100238.79,HR
Davishaven,20,84122.37,Sales
Lucasburgh,61,47197.08,Engineering
Andersonmouth,20,84398.65,Marketing
Staffordfort,42,99683.87,Sales
Williamton,25,71452.34,Marketing
Reevesburgh,24,70791.85,Sales
East Wendy,25,84225.69,Marketing
Thomasborough,34,78443.55,Engineering
Katherineview,32,67661.8,Marketing
Wyattton,50,71914.88,Marketing
Markhaven,23,65771.3,Sales
New Jameston,22,92853.81,Engineering
West Sydney,53,68685.35,Marketing
New Billy,42,75542.03,Marketing
Port Holly,37,93618.56,Sales
Benjaminton,23,71824.13,Sales
East Kristi,20,70821.02,Engineering
East Wendy,28,57020.43,Sales
Sarahville,21,91451.85,Engineering
Andreaport,26,79293.25,Sales
East Steven,34,63045.86,Sales
Dawnberg,19,76793.16,Finance
Timothyport,20,56003.32,Sales
New Jason,21,103365.25,Marketing
Scottmouth,48,93889.86,Marketing
Port Katieberg,54,72824.96,Marketing
East Stevenport,43,63191.14,Finance
Gutierrezshire,29,59468.65,Marketing
South Jasonland,49,84992.95,Engineering
East Rachel,47,73275.21,Marketing
Shannonfurt,43,89787.35,Marketing
South Williamview,63,95576.17,Marketing
East Michael,34,70421.28,Engineering
Shannonport,20,83778.24,Marketing
Barbarahaven,39,96554.84,Engineering
Port Meganstad,38,70149.07,HR
South Taylor,23,91614.72,Engineering
Alanshire,42,87232.67,Marketing
Atkinsfort,26,49630.5,Sales
South Sydney,52,75011.28,Engineering
Marieview,52,87698.64,Engineering
South Andrea,57,64576.54,Sales
Port Meganstad,19,47783.74,Marketing
Timstad,56,64307.94,Marketing
West Christopherburgh,35,66167.6,Marketing
Brendachester,31,85875.73,Marketing
Marystad,36,84588.76,Engineering
Lorettachester,25,70720.62,Marketing
East Anita,48,67542.54,Engineering
West Timothy,45,63902.16,Sales
Davidchester,28,44213.01,Sales
Patrickborough,38,80452.68,Engineering
East Lindseymouth,21,80287.49,Marketing
Amymouth,18,89105.86,Marketing
Darylland,18,108072.34,Engineering
Medinaport,30,95433.03,Engineering
North Bruce,21,56352.04,Marketing
Savannahbury,33,100251.11,Marketing
Debraside,60,67552.08,Sales
Michaelmouth,53,75575.63,Marketing
West Nicole,24,70807.93,Engineering
South Aaronbury,34,80567.61,HR
West Cindy,31,90579.6,Marketing
Tiffanyburgh,23,45060.78,Marketing
Michaelborough,34,83154.56,Marketing
West Patrickton,33,73145.24,Marketing
Port Sonia,46,80658.64,Marketing
North Shannontown,24,55131.37,Engineering
Quinnville,57,48947.71,Engineering
Brownburgh,43,85890.15,Sales
Davisville,24,101391.75,Sales
Jasmineside,22,80607.89,Marketing
Reidhaven,28,79036.76,Sales
Davidtown,54,75483.17,Sales
Heatherview,28,76980.34,Sales
Davidport,21,52361.85,Engineering
Mitchellburgh,26,77329.67,Marketing
North Carrieview,32,90865.45,Sales
Port Sarahtown,25,57146.98,Sales
East Matthewfort,21,80647.1,Marketing
Mckeeton,38,45740.03,Sales
North David,60,76313.79,Engineering
Port Roger,44,71651.21,Marketing
Bethstad,21,81845.26,Engineering
West Jeffrey,28,57182.9,Marketing
Johnsonview,36,81257.72,Sales
North Sarahshire,21,59034.64,Engineering
Lake Brandiland,22,64985.57,Marketing
Lucasburgh,30,79088.62,Marketing
West Gina,18,72989.0,Marketing
Loriton,54,80285.07,Engineering
Zacharychester,23,74875.0,Sales
Grahambury,62,77154.8,Marketing
Lake Veronicabury,27,85311.09,Marketing
Michaelmouth,24,75767.36,Engineering
Campbellhaven,30,89952.83,Marketing
Josephfort,22,84495.24,Sales
Tiffanyfurt,30,59281.99,Marketing
Anthonyfurt,25,73216.46,Marketing
West Morganborough,21,79862.75,Finance
East Lindseymouth,60,51913.62,Marketing
Vasquezport,19,71772.23,Finance
Woodland,63,55635.87,Engineering
Calebmouth,18,67336.86,Engineering
Martinville,27,71815.27,Sales
North Peterfurt,20,67181.31,Engineering
North Timothy,26,91749.3,Marketing
East Marymouth,57,80534.13,Marketing
Phillipland,45,97656.19,Sales
Lake Abigailport,19,90288.81,Sales
West Morganborough,48,63451.39,Engineering
Pamelaport,21,79336.68,Sales
Hilltown,19,90117.69,Engineering
North Lisafort,48,73597.45,Finance
New Rebecca,57,82434.67,Marketing
Davidton,29,70037.66,Engineering
Harringtonshire,27,60866.61,Sales
Annachester,21,62487.54,Engineering
Nancyburgh,22,103100.75,Marketing
Scottmouth,32,88063.52,Marketing
Davisville,37,64328.95,Engineering
New Markville,34,103270.02,Sales
Charlesbury,21,74935.5,Marketing
New Theresa,19,81222.59,Marketing
Rogersview,60,72818.46,Marketing
Lake Tara,18,74858.04,Marketing
Stevenstad,21,80092.0,Sales
Franklinborough,44,98648.18,Marketing
Lake Jessicahaven,21,71690.83,Marketing
East Jasmine,23,67497.87,Sales
Lake Stephanieburgh,18,109871.49,Sales
New Kathleenmouth,42,94902.51,Marketing
East Tonya,30,97616.05,Sales
Lake Bryanfurt,38,72760.04,Engineering
Khanland,60,62846.1,Engineering
West Claudia,30,65678.96,Sales
New Brandon,47,79964.76,Engineering
Lake Lisashire,44,82695.09,Marketing
Angelaville,44,81140.5,Marketing
Ericberg,29,58895.18,Finance
North Edwardchester,59,59420.88,Sales
Colemanland,65,66603.57,Engineering
Calebmouth,21,69792.13,HR
Lake Linda,32,72486.14,Engineering
Lake Jonathonfurt,22,87511.19,Marketing
Hickshaven,30,106544.75,Engineering
Reidborough,60,47783.31,HR
Teresashire,29,75963.53,Sales
Ronaldtown,24,75296.9,Sales
South Terranceberg,23,84011.16,HR
Anthonyfurt,45,74766.22,Sales
Port Scott,64,97576.5,Sales
North Rose,54,59630.56,Marketing
Harringtonshire,52,91627.41,Sales
Davidstad,40,72368.51,Marketing
Williamsview,25,55226.22,Finance
North Gabrielshire,23,69727.0,Engineering
Lake Sharon,24,69759.69,Engineering
North Alecland,19,86960.82,Engineering
Camposside,26,57833.52,Marketing
Richardfort,43,65707.72,HR
Port Trevor,63,75568.94,Marketing
Lake Sharon,60,78135.89,Sales
Wilsonburgh,44,74623.71,Engineering
Russellton,46,83576.93,Engineering
South Spencer,45,67677.7,Engineering
Jacobhaven,32,49140.32,Sales
Floresfort,20,73988.68,Marketing
Hernandezview,52,68752.03,Engineering
East Marymouth,29,94953.15,Marketing
South Benjaminstad,47,48112.19,Engineering
South Jessicatown,57,71515.49,Sales
Loriton,32,98174.0,Marketing
Port Sarahtown,29,81375.81,Marketing
Lake Andrewshire,19,57827.72,Engineering
Port Holly,30,60662.99,Sales
South Hollybury,18,82723.19,HR
East Ana,18,52959.37,Marketing
Johnton,54,60143.41,Marketing
East John,31,91325.5,Engineering
Nicholasstad,33,60706.98,Engineering
Davidchester,64,75525.99,Marketing
East Lindseymouth,49,63572.72,Sales
New Erin,19,83733.63,Marketing
New Johnnystad,50,67721.25,Sales
Schmidttown,29,79905.87,Marketing
Alexanderview,43,81760.83,Sales
Briannaborough,49,67286.04,Marketing
North Bradley,29,76042.52,Marketing
Port Roberta,41,77323.25,Engineering
Port Holly,34,69973.36,HR
Port Ashley,60,96738.76,Engineering
Teresashire,48,91629.1,Engineering
South Wayne,48,87387.52,Sales
New Theresa,18,67858.95,Marketing
Payneborough,28,50059.91,Sales
Jamesstad,48,66041.29,Engineering
Maxwellfurt,27,53523.62,Finance
Hickshaven,47,77935.44,Marketing
Buchananburgh,64,88413.62,Engineering
North Krystalton,18,69707.48,Sales
Butlerstad,41,99072.24,Sales
Michaelmouth,21,84746.19,Engineering
East Kristen,23,77414.94,Sales
Port Sarahtown,41,56786.3,Marketing
New Joseph,32,37184.14,Sales
Samanthamouth,29,30000.0,Marketing
Amymouth,21,68552.36,Engineering
Andersonmouth,58,80560.74,Marketing
South Tonyamouth,24,94376.71,Engineering
East Jamesburgh,54,68698.58,Engineering
East Steven,22,83115.83,Sales
Poolemouth,27,56811.32,Sales
Joneston,42,108150.51,Marketing
North Sharonburgh,35,70815.77,Marketing
Lake Kathryn,35,61900.52,Marketing
Johnsonview,32,64159.84,Engineering
Pamelaport,23,78214.86,Engineering
Angelaland,33,78901.9,Engineering
West Elizabeth,19,56924.84,Marketing
North Ruben,19,57382.08,Engineering
New Katherine,19,86716.32,Marketing
Port Tylertown,18,78407.74,Marketing
Richardside,54,65585.52,Finance
Buchananburgh,55,93087.19,Engineering
Davidport,34,94173.49,Marketing
Davidchester,23,93544.63,Sales
South Elizabeth,61,81614.45,Engineering
Phyllisport,42,86543.47,Sales
East Kathryn,47,94751.54,Sales
Cherylmouth,57,91769.44,Sales
Russellport,24,50824.28,Marketing
Camposside,22,80142.06,Sales
Alanshire,47,84919.96,Sales
Youngland,23,80061.05,Marketing
South Brandy,22,82686.87,Marketing
Jasmineside,23,62432.96,Sales
East Kathryn,30,69801.94,Sales
Lake Lisaland,39,82707.36,Engineering
East Beth,20,79024.08,Marketing
East Kristen,57,86686.04,Marketing
West Robert,62,69863.0,Sales
Port Sonia,36,94721.4,Sales
Russellton,33,55570.65,Marketing
Jeffreyburgh,60,80474.38,Sales
Lake Lisabury,29,69004.03,Marketing
Khanland,24,91537.67,Marketing
Lewismouth,19,70728.08,Engineering
North Erinfort,50,60676.44,Marketing
Howellbury,51,58811.4,Engineering
Bartlettville,50,72130.81,Marketing
Floresfort,31,54912.46,Marketing
Jenniferberg,25,69400.18,Marketing
East Kathryn,20,82435.53,Marketing
Harringtonshire,59,54842.97,Engineering
Jasonmouth,18,58365.99,Marketing
East Pattystad,62,68587.38,Engineering
Lake Bryanfurt,57,70346.83,Marketing
Lake Brendan,43,90519.27,Finance
West Melissaville,24,76460.37,Sales
Jenniferfort,34,109028.81,Marketing
North Sarahshire,56,72451.02,Marketing
Patrickborough,49,66184.29,Marketing
South Thomastown,39,74866.2,Marketing
Figueroaport,22,78059.65,Engineering
Jonesstad,65,57599.04,Engineering
Sarahland,22,71062.33,Sales
Ericberg,25,106566.06,Sales
Joelshire,24,72573.83,Sales
Benjaminhaven,28,53228.95,Marketing
Jeffreybury,44,67232.05,Marketing
Coopershire,41,91135.07,Engineering
Lisafurt,24,33601.74,HR
Collinsville,41,109329.8,Marketing
Jenniferview,38,65890.15,Engineering
North Carrieview,27,68080.86,Marketing
East Wendy,23,79020.31,Engineering
New Andrew,41,64420.43,Marketing
New Derekview,20,75009.45,Sales
New Robertchester,45,83238.5,Marketing
Richardside,32,78396.44,Finance
Richardside,20,92905.11,Sales
Estesport,31,110261.2,Marketing
East Deborahstad,49,92853.49,Engineering
North Rose,44,65080.0,HR
Lake Jenniferborough,20,76880.31,Engineering
Port Scott,30,84078.38,Sales
New Brandihaven,25,76820.91,Engineering
North Donna,28,44002.38,Engineering
Ericburgh,62,80739.97,Marketing
Schmidttown,26,78898.66,Engineering
New Theresa,52,49773.58,Sales
Margaretview,46,89920.03,Marketing
West Melissaville,22,100088.39,Marketing
Port Johnbury,18,61880.84,Engineering
West Jenniferberg,37,81050.36,Marketing
East Angela,53,75906.64,Marketing
Jacobhaven,18,82980.29,Marketing
North Jacob,39,91916.76,Engineering
Patrickborough,34,81236.03,Engineering
South Markland,62,76384.13,Engineering
New Aaron,19,67734.21,Finance
Jacobhaven,44,81084.15,Sales
North Vickieburgh,46,97946.75,Engineering
Transtad,37,72521.52,Finance
Michaelmouth,24,112155.89,Sales
South Laura,38,83074.54,Sales
North Gabrielshire,56,73122.8,Engineering
Collinsville,62,82758.47,Marketing
West Nicole,55,81882.89,Marketing
